nr,commission_representative,portfolio,date,location,subject(s)-edited,lobbyist,health_meeting_or_lab,,,
12,"Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,6/05/2015,"Brussels, Belgium",Endocrine disruptors and the definition of the concept of Negligible exposure within the regulation of Plant Protection products,EPPA SA,FALSE,,,
13,"Rolf Carsten Bermig, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",21/04/2015,"Berlaymont, Brussels, Belgium",Intro meeting,EPPA SA,FALSE,,,
14,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,30/03/2015,Brussels,"Presentation of EPPA SA. Endocrine Disruptor criteria, Expected review of neonicotinoids of the restrictions for these pesticides",EPPA SA,FALSE,,,
15,"Robert-Jan Smits, Director-General",Director-General of Research and Innovation(RTD),9/12/2014,"Brussels, Director- General's office",Blueprint HLG,EPPA SA,FALSE,,,
1,"Olivier Guersent, Director-General","Director-General of Financial Stability, Financial Services and Capital Markets Union(FISMA)",4/02/2019,Brussels,Échange de vue autour de la nécessité de durcir le régime des ventes à découvert européen,ESL & NETWORK EUROPEAN AFFAIRS SA (ESL EA),FALSE,,,
2,"Maud Scelo, Cabinet member of Pierre Moscovici","Economic and Financial Affairs, Taxation and Customs",28/01/2019,Brussels,The rules of origin currently applicable to Moroccan textile and apparel products.,ESL & NETWORK EUROPEAN AFFAIRS SA (ESL EA),FALSE,,,
1,"Francisco Barros Castro, Cabinet member of Elisa Ferreira",Cohesion and Reforms,27/08/2020,Brussels,Presentation of their offices in Brussels,Estrutura para Implementação do Gabinete de Representação da Região Autónoma dos Açores (Azores EU Office),FALSE,,,
1,"Isabelle Perignon, Cabinet member of Didier Reynders",Justice,18/08/2020,video conferencing,Green Consumption Pledges,Etn Fr Colruyt,FALSE,,,
1,"Shane Sutherland, Cabinet member of Phil Hogan",Agriculture & Rural Development,18/10/2017,Brussels,Introduction,EU Strategy,FALSE,,,
2,"Kaius Kristian Hedberg, Cabinet member of Elżbieta Bieńkowska","Internal Market, Industry, Entrepreneurship and SMEs",5/10/2017,Brussels,platforms,EU Strategy,FALSE,,,
3,"Szabolcs Horvath, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",16/12/2016,Brussels,Digital Single Market,EU Strategy,FALSE,,,
4,"Rodrigo Ballester, Cabinet member of Tibor Navracsics","Education, Culture, Youth and Sport",7/11/2016,Brussels,ICT in education,EU Strategy,FALSE,,,
5,"Friedrich-Nikolaus von Peter, Cabinet member of Violeta Bulc",Transport,7/10/2016,Brussels,Meeting Mr Wassim Chourbaji Qualcomm VP,EU Strategy,FALSE,,,
6,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip;Hanna Hinrikus, Cabinet member of Andrus Ansip",Digital Single Market,25/04/2016,Brussels,Follow up Forum ICT coalition for Children Online,EU Strategy,FALSE,,,
7,"Daniel Calleja Crespo, Director-General",Director-General of Environment (ENV),21/04/2016,Brussels,Circular economy and cooperation in Latin America,EU Strategy,FALSE,,,
8,"Paolo Berizzi, Cabinet member of Neven Mimica",International Cooperation & Development,17/02/2016,"Brussels, Belgium",Cooperation with the Inter- American Development Bank,EU Strategy,FALSE,,,
9,"Markus Schulte, Cabinet member of Günther Oettinger",Digital Economy and Society,26/01/2016,Brussels,DSM,EU Strategy,FALSE,,,
10,"Laure Chapuis-Kombos, Cabinet member of Andrus Ansip",Digital Single Market,20/03/2015,Brussels,Presentation of ICT Coalition for children online,EU Strategy,FALSE,,,
11,"Eveline Lecoq, Cabinet member of Carlos Moedas","Research, Science and Innovation",5/02/2015,Brussels,Digitalisation of different sectors,EU Strategy,FALSE,,,
12,"Hanna Hinrikus, Cabinet member of Andrus Ansip;Jasmin Battista, Cabinet member of Andrus Ansip",Digital Single Market,12/12/2014,Brussels,"e-Skills, digital competencies, ICT and women, coding",EU Strategy,FALSE,,,
13,"Paolo Berizzi, Cabinet member of Neven Mimica",International Cooperation & Development,12/12/2014,Brussels,Presentation of ADB activities and of work with the European Commission,EU Strategy,FALSE,,,
1,"Nicholas Ilett, Director-General",Director-General of European Anti- Fraud Office(OLAF),9/11/2017,"Brussels, Belgium",Track and trace system under the Tobacco Products Directive,EUK Consulting (EUK),FALSE,,,
2,"Arunas Ribokas, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,19/09/2017,Brussels,"Role of biocides and anti-microbial products, preventing anti- microbial resistance",EUK Consulting (EUK),FALSE,,,
3,"Ingrid Bellander-Todino, Cabinet member of Julian King",Security Union,27/01/2017,Brussels,Introduction meeting,EUK Consulting (EUK),FALSE,,,
4,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",20/09/2016,"Brussels, Belgium",Consumer credit directive obligations on advertising in radios,EUK Consulting (EUK),FALSE,,,
5,"Desiree Oen, Cabinet member of Violeta Bulc",Transport,2/06/2016,Brussels- belgium,competitiveness aerospace sector,EUK Consulting (EUK),FALSE,,,
6,"Denzil Davidson, Cabinet member of Jonathan Hill","Financial Stability, Financial Services and Capital Markets Union",4/05/2016,Brussels,REFIT,EUK Consulting (EUK),FALSE,,,
7,"Giorgios Rossides, Cabinet member of Dimitris Avramopoulos","Migration, Home Affairs and Citizenship",2/02/2016,Brussels,Combatting terrorism,EUK Consulting (EUK),FALSE,,,
8,"Eduard Hulicius, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",18/03/2015,"Brussels, Belgium",Consumer safety,EUK Consulting (EUK),FALSE,,,
1,"Grzegorz Radziejewski, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",18/10/2016,Brussels,Circular economy,EURALIA,FALSE,,,
1,"Panayiotis Pourgourides, Cabinet member of Stella Kyriakides;Ines Prainsack, Cabinet member of Stella Kyriakides;Karolina Herbout-Borczak, Cabinet member of Stella Kyriakides",Health,9/11/2020,Virtual meeting,"Exchange of views with Euro Foie Gras producers on their sector and EC priorities on animal welfare, Animal Healt and slaughter of animals.",Euro Foie Gras (EFG),FALSE,,,
2,"Lukas Visek, Cabinet member of Frans Timmermans",European Green Deal,10/06/2020,Brussels - video conference,Sustainable food systems,Euro Foie Gras (EFG),FALSE,,,
3,"Catherine Geslain-Lanéelle, Cabinet member of Janusz Wojciechowski",Agriculture,1/04/2020,videoconference,"To present the European foie gras sector and to discuss European issues, in particular marketing standards for poultry.",Euro Foie Gras (EFG),FALSE,,,
4,"Marco Valletta, Cabinet member of Vytenis Andriukaitis;Nathalie Chaze, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,13/03/2017,Brussels,Avian influenza epidemic affecting the European foie gras sector,Euro Foie Gras (EFG),FALSE,,,
5,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,13/03/2017,Brussels,Business discussion,Euro Foie Gras (EFG),FALSE,,,
6,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,13/03/2017,Brussels,Business discussion,Euro Foie Gras (EFG),FALSE,,,
7,"Tom Tynan, Cabinet member of Phil Hogan",Agriculture & Rural Development,13/01/2016,Brussels,Business discussion,Euro Foie Gras (EFG),FALSE,,,
1,"Piet van Nuffel, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",20/03/2018,Brussels,Whistleblowers protection,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
2,"Antti Timonen, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",16/02/2018,Brussels,Eurocadres position paper for 2019 European elections,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
3,"Filomena Chirico, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",29/06/2017,Brussels,EU whistleblowers protections initiatives,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
4,"Antti Timonen, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",31/01/2017,Brussels,EU-priorities of Eurocadres and Akava for 2017,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
5,"Isabelle Perignon, Cabinet member of Věra Jourová","Justice, Consumers and Gender Equality",14/12/2016,"Brussels, Belgium",whistleblower protection,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
6,"Julie Fionda, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",16/06/2016,Brussels,Skills,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
7,"Michel Servoz, Director-General","Director-General of Employment, Social Affairs and Inclusion(EMPL)",4/03/2016,Michel Servoz office,Discussion about the role of Eurocadres as one of the social partners,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
8,"Aura Salla, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",9/01/2015,Brussels,Skills and education in labour market,EUROCADRES - COUNCIL OF EUROPEAN PROFESSIONAL AND MANAGERIAL STAFF (EUROCADRES),FALSE,,,
1,"Xavier Prats Monné, Director-General",Director-General of Health and Food Safety (SANTE),1/04/2016,Brussels,Cooperation with DG SANTE in the development of patient-oriented European public health policy,EUROCAM,TRUE,,,
1,"Deša Srsen, Cabinet member of Dubravka Šuica;Astrid Dentler, Cabinet member of Dubravka Šuica",Democracy and Demography,22/04/2020,Brussels,- Report on the Impact of Demographic Change - Green Paper on Ageing - COVID-19 and informal care - Challenges for long-term informal care,Eurocarers (EuCa),TRUE,,,
2,"Annika Nowak, Cabinet member of Vytenis Andriukaitis",Health & Food Safety,15/09/2016,Brussels,Primary Care,Eurocarers (EuCa),FALSE,,,
1,"Kerstin Jorna, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",4/11/2020,Brussels,EU's industry strategy and Single Market Enforcement Action Plan.,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
2,"Celine Gauer, Director-General",Head of the Recovery and Resilience Task Force of Recovery and Resilience Task force (RECOVER),29/09/2020,"Brussels, Belgium",Recovery and Resilience Facility,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
3,"Olivér Várhelyi, Commissioner",Neighbourhood and Enlargement,9/06/2020,Brussels,Enhancing cooperation with the Western Balkans and Eastern Partnership countries.,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
4,"Nicolas Schmit, Commissioner;Anouk Faber, Cabinet member of Nicolas Schmit;Christoph Nerlich, Cabinet member of Nicolas Schmit",Jobs and Social Rights,9/06/2020,Videoconference,"Videoconference on skills, Vocational Education and Training (VET) and SURE.",EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
5,"Andrea Beltramello, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,28/05/2020,video- conferencing,COVID-19 relief measures,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),TRUE,,,
6,"Ylva Johansson, Commissioner;Alexandra Cupsan-Catalin, Cabinet member of Ylva Johansson",Home Affairs,5/05/2020,Brussels,Migrants’ challenges in the current COVID-19 crisis and their contribution to economic recovery,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),TRUE,,,
7,"Paolo Gentiloni, Commissioner",Economy,5/05/2020,Videoconference,Impact of Covid19 on SMEs sector and in commercial ties EU/USA,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),TRUE,,,
8,"Michael Hager, Cabinet member of Valdis Dombrovskis;Ruth Paserman, Cabinet member of Valdis Dombrovskis;Valdis Dombrovskis , Executive Vice-President",An Economy that Works for People,6/03/2020,Brussels,"Industrial Strategy, SMEs strategy, Social Dialogue and Pillar of Social Rights, European Semester",EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
9,"Ylva Johansson, Commissioner;Raul Hernandez Sagrera, Cabinet member of Ylva Johansson;Alexandra Cupsan-Catalin, Cabinet member of Ylva Johansson",Home Affairs,3/03/2020,Brussels,Consultations on the New Pact on Migrations,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
10,"Sabine Weyand, Director-General",Director-General of Trade(TRADE),25/02/2020,Brussels,Global Intelligence Strategy,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
11,"Marius Vaščega , Cabinet member of Virginijus Sinkevičius","Environment, Oceans and Fisheries",20/02/2020,Brussels,"Circular Economy Action plan, Decarbonisation of industry, Climate law.",EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
12,"Hugo Monteiro Brilhante Sobral, Cabinet member of Elisa Ferreira",Cohesion and Reforms,7/02/2020,Brussels,Green Deal,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
13,"Christine Mai, Cabinet member of Tibor Navracsics;Tibor Navracsics, Commissioner","Education, Culture, Youth and Sport",10/04/2019,"Brussels, BERL","education, youth, Erasmus+",EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
14,"Timo Pesonen, Director-General","Director-General of Internal Market, Industry, Entrepreneurship and SMEs(GROW)",9/04/2019,BREY 14/069,Priorities of the next European Commission SM+ discussion on remaining obstacles on free movement if services,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
15,"Stefano Manservisi, Director-General",Director-General of International Cooperation and Development (DEVCO),8/04/2019,Rue de la Loi 41,Meeting With Dir. A. Abruzzini - Exchange about circular migration and education,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
16,"Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",6/03/2019,Brussels,"Current trade issues, skills & Erasmus+",EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
17,"Cecilia Malmström, Commissioner",Trade,6/12/2018,Brussels,State of play of EU trade policy,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
18,"Tibor Navracsics, Commissioner","Education, Culture, Youth and Sport",28/06/2018,Bruxelles,Declaration of Entrepreneurial Rights,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
19,"Maria Luisa Llano Cardenal, Cabinet member of Valdis Dombrovskis","Euro and Social Dialogue, also in charge of Financial Stability, Financial Services and Capital Markets Union",22/06/2018,Brussels,Discussion on the Eurochambres' declaration of Entrepreneurial Rights,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
20,"Ruth Paserman, Cabinet member of Marianne Thyssen","Employment, Social Affairs, Skills and Labour Mobility",22/06/2018,BERl,Declaration of Entrepreneurial Rights,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
21,"Jyrki Katainen, Vice-President","Jobs, Growth, Investment and Competitiveness",23/05/2018,Brussels,Future of Europe and EU trade policy,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
22,"Risto Artjoki, Cabinet member of Jyrki Katainen;Grzegorz Radziejewski, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",16/04/2018,Brussels,SMEs and MFF,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
23,"Stefano Manservisi, Director-General",Director-General of International Cooperation and Development (DEVCO),19/01/2018,Brussels,TVET programme in Sub-Saharan Africa,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
24,"Grzegorz Radziejewski, Cabinet member of Jyrki Katainen;Marlene Madsen, Cabinet member of Jyrki Katainen","Jobs, Growth, Investment and Competitiveness",5/12/2017,Brussels,Multiannual Financial Framework,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
25,"Helena Braun, Cabinet member of Frans Timmermans","Better Regulation, Interinstitutional Relations, the Rule of Law and the Charter of Fundamental Rights",8/11/2017,"Brussels, BERL",Discussion on the initiative on the integration of refugees in the European labour market,EUROCHAMBRES – Association of European Chambers of Commerce and Industry (eurochambres),FALSE,,,
